,Nest7,Nest15,Nest19,Nest21,Nest22,Nest24,Nest29,Nest33,Nest35,Nest37,Nest41,Nest55,Nest56,Nest61,Nest64,Nest67,Nest69,Nest72,Nest74,Nest82,Nest84,Nest85,Nest88,Nest94,Nest100,Nest103,Nest108,Nest112
Nest7,0,6.4998,3.3324,6.9792,8.2315,11.1235,10.6523,12.6377,15.3108,17.6633,16.8,17.6588,11.2822,1.5664,11.3619,7.393,3.8131,16.9646,3.625,22.5789,4.7621,15.6226,19.6659,23.6761,15.9548,13.3607,12.3645,10.8921
Nest15,6.4998,0,5.2722,7.0482,6.922,13.3773,11.4427,11.379,16.159,17.1917,14.1921,18.282,10.1584,5.2265,5.2265,2.6076,2.9133,14.604,9.6872,21.9581,12.2338,16.9608,19.5996,24.2134,13.7929,15.1257,12.9159,11.404
Nest19,3.3324,5.2722,0,3.7186,4.8994,10.4389,7.7876,9.3697,12.5796,14.603,13.3329,14.8832,7.3489,3.5953,8.1977,4.9922,2.5349,13.6406,6.7631,20.2137,10.7245,13.0935,16.728,20.9533,10.4607,11.8815,9.2785,7.54
Nest21,6.9792,7.0482,3.7186,0,1.642,7.6441,4.482,5.661,9.261,10.9509,9.7219,11.4774,3.655,7.2894,4.5098,5.243,5.3664,10.0303,10.1415,15.8743,14.3549,9.9959,13.1579,17.5425,6.9996,8.38,5.6423,3.8671
Nest22,8.2315,6.922,4.8994,1.642,0,8.1458,4.7442,4.6931,9.2307,10.3587,8.4441,11.291,3.2171,8.302,3.9946,4.719,6.0262,8.7556,11.5619,15.221,15.6235,10.1675,12.7074,17.2765,6.8692,8.135,5.2465,2.8057
Nest24,11.1235,13.3773,10.4389,7.6441,8.1458,0,3.433,6.4087,3.1092,6.7114,9.7297,5.3102,5.4077,13.7894,5.1491,12.7763,12.7843,9.8312,14.6707,10.9416,19.2946,2.845,7.7376,11.0066,3.0258,3.701,4.3529,6.7587
Nest29,10.6523,11.4427,7.7876,4.482,4.7442,3.433,0,3.8047,4.8129,7.1009,7.952,7.0962,2.0818,11.3398,2.1211,9.4287,9.7884,8.1524,13.1549,11.9681,17.6944,5.5211,9.0136,13.1686,2.7083,4.1412,2.1792,3.5167
Nest33,12.6377,11.379,9.3697,5.661,4.6931,6.4087,3.8047,0,5.8399,5.833,4.3328,7.3669,2.3225,12.9018,1.7852,8.906,10.6319,4.5943,15.687,10.5896,19.9975,7.1583,8.2972,13.0339,3.7061,4.3906,2.0551,1.8292
Nest35,15.3108,16.159,12.5796,9.261,9.2307,3.1092,4.8129,5.8399,0,3.7382,7.8405,2.3573,6.0382,16.0995,5.4314,13.9363,14.5954,7.8523,17.4816,7.845,22.0929,1.4546,4.6548,8.3823,2.3746,1.5162,4.1446,7.0266
Nest37,17.6633,17.1917,14.603,10.9509,10.3587,6.7114,7.1009,5.833,3.7382,0,5.4171,2.8965,7.3043,18.1982,6.4984,14.7376,16.2105,5.2889,20.2552,4.9286,24.7912,4.897,2.5206,7.3246,4.4838,3.162,5.3245,7.6293
