"","Band.ID","Tag","Year","Arrival.date","Site","Sex","Age.category","Age","Nest","Post.mass","Pre.mass","Mean.TS","Mean.wing","Color.manipulation.","B_avg.bright","B_hue","B_chroma","R_avg.bright","R_hue","R_chroma","T_avg.bright","T_hue","T_chroma","V_avg.bright","V_hue","V_chroma","Post.R_avg.bright","R.bright.treat.and.orig","soc.mate.ID.nest.1","soc.mate.tag.nest.1","nest.1","total.fecundity","attmpt.1.tot.pat","attmpt.2.tot.pat","total.paternity","n.unique.soc.partner.pre","max.cnt.soc.intx.pre","tot.cnt.soc.intx.pre","strength.pre","degree.pre"
"1","1831-13697","34",2015,124,"chr","f","asy",2,"35",18.5,18.5,80.5,117.5,NA,25.06707356,634.63,0.405356751,31.30627808,660.02,0.460062774,20.44323141,660.02,0.512055718,26.49869334,610.5,0.445753082,NA,31.30627808,"2591-02869","69","36",13,NA,NA,NA,15,6,37,37,15
"2","2600-27560","42",2015,124,"chr","f","asy",4,"100",18.5,19.75,83.5,125,NA,28.37622766,615.4333333,0.427148732,43.74912803,600.78,0.390372737,20.65472849,658.1066667,0.505381204,28.71685929,620.17,0.493633417,NA,43.74912803,"2640-97173","110","26.2",16,NA,NA,NA,2,17,19,19,2
"3","2600-27741","48",2015,88,"chr","f","asy",4,"55",18.5,18,74.5,111,NA,51.90395543,590.7966667,0.349427665,59.63677399,600.78,0.360171937,34.65524019,610.82,0.448848692,30.06088065,610.18,0.47144023,NA,59.63677399,"2640-97176","61","34",10,NA,NA,NA,17,17,57,57,17
"4","2600-27789","35",2015,131,"chr","f","asy",3,"72",18,17.5,72,112.8333333,NA,20.93251007,656.0666667,0.444601064,29.23359957,617.1033333,0.474167298,24.77960688,617.49,0.500614977,33.28971674,633.0733333,0.438634565,NA,29.23359957,"2600-27548","129","43",9,NA,NA,NA,8,13,23,23,8
"5","2600-27791","66",2015,88,"chr","f","asy",3,"41.2",15,16.75,74,112,NA,43.80019997,626.48,0.364393179,39.07238741,681.39,0.44281576,25.8082322,628.1266667,0.498789267,31.71554569,622.4033333,0.427250776,NA,39.07238741,"2600-27548","129","77",7,NA,NA,NA,15,22,57,57,15
"6","2600-27796","125",2015,88,"chr","f","asy",3,"15",18.5,18.5,89.5,121,NA,36.63350025,611.1433333,0.384265859,42.42877266,618.4533333,0.401922298,16.84424485,660.0566667,0.547826654,31.74448022,626.76,0.471034743,NA,42.42877266,"2521-27354","112","66",14,NA,NA,NA,7,5,11,11,7
"7","2600-27800","52",2015,122,"chr","f","asy",3,"37",19,17.75,83,117.8333333,NA,33.17003313,635.1366667,0.377653765,28.8023907,616.4833333,0.467300647,37.49601502,578.7766667,0.418490208,27.28366658,628.7433333,0.490426556,NA,28.8023907,"2600-54874","115","79",12,NA,NA,NA,17,24,57,57,17
"8","2600-54703","128",2015,124,"chr","f","asy",3,"94.2",17,17.5,78,117,NA,37.14758905,617.14,0.417081413,15.88939309,659.08,0.434956546,29.71446253,655.4666667,0.460116196,31.03879987,658.4333333,0.455237897,NA,15.88939309,"2521-47978","77","94",9,NA,NA,NA,11,6,27,27,11
"9","2600-54704","80",2015,88,"chr","f","asy",3,"112",18.5,19.5,82.5,122.5,NA,30.71201986,650.1133333,0.421328076,19.48993021,621.76,0.454567652,21.9564637,643.4,0.452334256,32.2194006,598.7866667,0.454845256,NA,19.48993021,"2600-54966","55","90",10,NA,NA,NA,7,13,28,28,7
"10","2600-54868","126",2015,131,"chr","f","asy",2,"64",17.5,19.5,73,116.1666667,NA,34.37821799,574.02,0.43429727,34.76348606,613.0933333,0.440670675,25.52291137,610.42,0.455718195,42.6896221,585.6866667,0.395747641,NA,34.76348606,"2600-54949","74","32",5,NA,NA,NA,12,12,41,41,12
